id,museu,gaveta,sp,pop,coletor,id.coletor,localidade,municipio,uf,lon,lat,alt,xy.original,ano,mes,dia,morte,pele,cranio,esqueleto,sexo,dentes,classe,idade,peso,peso.morto,compr.total,compr.corpo,compr.cauda,tarso.c.unha,tarso.s.unha,orelha.int,orelha.ext,medido,gls,cb,nas,bbc,zb,poc,ic,lbasi,bps,bam,can,pl,max,sm,mad,alpcor,larcon,size,shape,nas/gls,can/bam,pl/cb,bam/pl,sm/max,alpcor/mad,obs,replicas,gls.1,cb.1,nas.1,bbc.1,zb.1,poc.1,ic.1,lbasi.1,bps.1,bam.1,can.1,pl.1,max.1,sm.1,mad.1,alpcor.1,larcon.1,gls.2,cb.2,nas.2,bbc.2,zb.2,poc.2,ic.2,lbasi.2,bps.2,bam.2,can.2,pl.2,max.2,sm.2,mad.2,alpcor.2,larcon.2,gls.3,cb.3,nas.3,bbc.3,zb.3,poc.3,ic.3,lbasi.3,bps.3,bam.3,can.3,pl.3,max.3,sm.3,mad.3,alpcor.3,larcon.3,gls.4,cb.4,nas.4,bbc.4,zb.4,poc.4,ic.4,lbasi.4,bps.4,bam.4,can.4,pl.4,max.4,sm.4,mad.4,alpcor.4,larcon.4
MN73783,MNHN,"14,03,1",Marmosops incanus,Mangaratiba,labvert,RB M40,Fazenda Bom Jardim,Mangaratiba,RJ,-44.108972,-22.920028,31,TRUE,2005,9,21,,,ok,ok,male,p3m4,6,adulto,,,,,,,,,,TRUE,41.24,40.75,19.52,13.71,20.75,6.02,8.45,13.28,6.52,11.31,6.27,23.09,16.17,7.43,29.92,12,1.47,29.0785573920028,0.50920245398773,0.473326867119302,0.554376657824934,0.566625766871166,0.489822433954093,0.459492888064317,0.401069518716578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN73788,MNHN,"14,03,1",Marmosops incanus,Mangaratiba,labvert,RB M52,Fazenda Bom Jardim,Mangaratiba,RJ,-44.108972,-22.920028,31,TRUE,2005,9,22,,,ok,ok,male,p3m4,6,adulto,,,,,,,,,,TRUE,40.21,39.67,20.11,13.79,20.56,6.23,8.08,13.15,6.34,11.02,6.26,22.51,16.06,7.28,28.95,11.56,1.35,28.5589775727353,0.518275775144946,0.500124347177319,0.568058076225045,0.567431308293421,0.489560195468681,0.453300124533001,0.399309153713299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN33835,MNHN,"14,03,1b",Marmosops incanus,,,,,Mendes,RJ,,,,,,,,,ok,ok,,,,,adulto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,não está na bandeja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN27826,MNHN,"14,03,1b",Marmosops incanus,,labvert,TN 15,Tinguá,Nova Iguaçú,RJ,-43.433333,-22.6,,,1988,9,11,,ok,ok,,female,p3m4,6,adulto,46.1,,,,,,,,,TRUE,36.37,35.84,16.5,13.51,18.77,6.45,7.58,12.48,6.01,11.52,5.65,20.35,14.86,7.12,26.93,10.67,1.29,25.9367846889317,0.523716517857143,0.453670607643662,0.490451388888889,0.567801339285714,0.566093366093366,0.479138627187079,0.396212402525065,coordenadas por Paynter & Traylor 1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN61814,MNHN,"14,03,1b",Marmosops incanus,,Paulo D’Andrea,LBCE 831,Praça Verde,Paracambi,RJ,,,,,1999,3,18,25/mar/1999,ok,ok,ok,female,p3m4,6,adulto,45,,271,108,163,19,19,21,,TRUE,33.69,32.64,14.76,13.13,16.46,6.56,6.97,12.21,5.7,10.82,4.95,18.87,14.44,7.41,24.13,9.21,1.11,23.1787488877204,0.504289215686274,0.438112199465717,0.457486136783734,0.578125,0.573396926338103,0.513157894736842,0.38168255283879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MZ029172,MZUSP,,Marmosops incanus,,M. A. Mustrangi,MAM 182,"Parque Nacional do Itatiaia, Penedo; Brasil, Rio de Janeiro",Penedo,RJ,,,500,,1993,9,22,,ok,ok,ok,male,p3m4,6,adulto,,,,,,,,,,TRUE,42.19,41.37,20.75,13.74,20.76,6.46,7.81,13.28,6.87,11.86,6.32,24,16.86,7.61,30.98,12.59,1.44,29.3059925612493,0.501812907904279,0.49182270680256,0.532883642495784,0.580130529369108,0.494166666666667,0.451364175563464,0.406391220142027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN75300,MNHN,,Marmosops incanus,,P. S. D’Andréa,LBCE 9509,Reservatório Ribeirão das Lages,Piraí,RJ,-43.9,-22.633333,,,2006,6,15,,ok,ok,ok,female,p3m4,6,adulto,28,,293,122,171,19,18,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,Id. do Cadú. “PIRAÍ; Rio de Janeiro” em Paynter & Traylor 1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN71853,MNHN,,Marmosops paulensis,,H. G. Bergallo,HGB 466,"Visconde de Mauá, Resende",Resende,RJ,-44.530186,-22.330124,,,2005,11,8,,ok,ok,ok,female,p3m4,6,adulto,60,,314,128,186,20,19,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,Id. do Cadú. Coordenadas do município.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN71861,MNHN,,Marmosops paulensis,,H. G. Bergallo,HGB 476,"Visconde de Mauá, Resende",Resende,RJ,-44.530186,-22.330124,,,2005,11,9,,ok,ok,ok,male,p3m4,6,adulto,70,,331,139,192,23,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,Id. do Cadú. Fêmea na etiqueta. Coordenadas do município.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN71876,MNHN,,Marmosops paulensis,,H. G. Bergallo,HGB 492,"Visconde de Mauá, Resende",Resende,RJ,-44.530186,-22.330124,,,2005,11,12,,,ok,ok,male,p3m4,6,adulto,74.46,,337,157,180,24,23,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,Id. do Cadú. Coordenadas do município.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
