"","id","museu","gaveta","sp","pop","coletor","id.coletor","localidade","municipio","uf","lon","lat","alt","xy.original","ano","mes","dia","morte","pele","cranio","esqueleto","sexo","dentes","classe","idade","peso","peso.morto","compr.total","compr.corpo","compr.cauda","tarso.c.unha","tarso.s.unha","orelha.int","orelha.ext","medido","gls","cb","nas","bbc","zb","poc","ic","lbasi","bps","bam","can","pl","max","sm","mad","alpcor","larcon","size","shape","nas.gls","can.bam","pl.cb","bam.pl","sm.max","alpcor.mad","obs","replicas","gls.1","cb.1","nas.1","bbc.1","zb.1","poc.1","ic.1","lbasi.1","bps.1","bam.1","can.1","pl.1","max.1","sm.1","mad.1","alpcor.1","larcon.1","gls.2","cb.2","nas.2","bbc.2","zb.2","poc.2","ic.2","lbasi.2","bps.2","bam.2","can.2","pl.2","max.2","sm.2","mad.2","alpcor.2","larcon.2","gls.3","cb.3","nas.3","bbc.3","zb.3","poc.3","ic.3","lbasi.3","bps.3","bam.3","can.3","pl.3","max.3","sm.3","mad.3","alpcor.3","larcon.3","gls.4","cb.4","nas.4","bbc.4","zb.4","poc.4","ic.4","lbasi.4","bps.4","bam.4","can.4","pl.4","max.4","sm.4","mad.4","alpcor.4","larcon.4"
"207","UFES169","UFES","03-02","Marmosops incanus","Águia Branca","Yuri Luiz Reis Leite","YL 486","Mata dos Galiano, Águas Claras","Águia Branca","ES","-40.8091666666667","-18.9161111111111","300",TRUE,2006,8,13,"","ETOH","ok","","female","p3m4",6,"adulto","42","","305",138,"167",17,NA,"25","",TRUE,0.221228807435715,0.597004827047215,NA,0.214398304541971,-0.272335908466101,-0.101308022776124,0.499713697237451,-0.118694119749076,0.328208985542942,-0.00627655847146968,0.0728715831659681,0.537534845949089,0.212175021188182,0.16217992140003,0.440668690470741,-0.274418530382896,0.132964562935899,25.3725757462659,0.487751169832095,NA,0.486972147349506,0.58298926507019,0.525495750708215,0.478036175710594,0.374861776631036,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"208","UFES216","UFES","03-02","Marmosops incanus","Águia Branca","Yuri Luiz Reis Leite","YL 487","Mata dos Galiano, Águas Claras","Águia Branca","ES","-40.8091666666667","-18.9161111111111","300",TRUE,2006,8,13,"","ok","ok","","male","p3m4",6,"adulto","90","","372",156,"216",23,NA,"29","",TRUE,0.187981045641394,0.721340208636242,-0.00733993857112836,-0.368637720604143,-0.420272596160352,0.403712251841577,0.055824228346518,0.332882965612228,0.110484015543979,0.175930719483631,0.0118505679029557,0.64038130080711,0.509472046362287,-0.152082414537428,0.65510325744733,-1.14597143053022,-0.0679215048034616,29.2612593713941,0.487473156764495,0.492480305562187,0.520226537216828,0.575757575757576,0.512225445503523,0.431609195402299,0.357460317460317,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"210","UFES217","UFES","03-02","Marmosops incanus","Águia Branca","Yuri Luiz Reis Leite","YL 489","Mata dos Galiano, Águas Claras","Águia Branca","ES","-40.8091666666667","-18.9161111111111","300",TRUE,2006,8,14,"","ok","ok","","female","p3m4",6,"adulto","46","","231",59,"172",22,NA,"28","",TRUE,1.14146324533841,0.583707813956629,NA,0.218395193584612,-0.24926156138617,0.0622275570671436,0.141877405471763,0.400530583962052,0.212598044274412,0.0328283940104281,0.296390450843233,0.50856014550244,0.210526274157754,0.0827996188453675,0.210322636971515,0.118322078286674,0.0625389749618386,24.6336355416735,0.487528344671202,NA,0.495897903372835,0.584183673469388,0.532265890344493,0.477257745550429,0.390271926464956,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"211","UFES223","UFES","03-02","Marmosops incanus","Águia Branca","Yuri Luiz Reis Leite","YL 346","Mata Norte, Sítio Krok","Águia Branca","ES","-40.7202777777778","-18.9777777777778","160",TRUE,2006,4,19,"","ok","ok","","female","p3m4",6,"adulto","30","","284",119,"165",20,NA,"26","",TRUE,-0.12034281330051,-0.0588681901928183,NA,0.313975538557095,0.0803668812332283,0.126562212673812,0.372029350309846,-0.261209587039652,-0.155131185909291,-0.0589888722103815,-0.0925851597112608,-0.113130578028105,0.459041208503614,0.39470216112861,0.108697744372222,-0.421709454760553,-0.0155452761842561,24.1579096777846,0.505740359140418,NA,0.457674418604651,0.57815719752723,0.547352342158859,0.492772667542707,0.369019607843137,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"212","UFES222","UFES","03-02","Marmosops incanus","Águia Branca","Yuri Luiz Reis Leite","YL 352","Mata Norte, Sítio Krok","Águia Branca","ES","-40.7202777777778","-18.9777777777778","160",TRUE,2006,4,20,"","ok","ok","","male","p3m4",6,"adulto","46","","328",143,"185",22,NA,"28","",TRUE,-0.441119549717023,-0.0125944201587913,0.0521901088193886,0.422938306202942,0.00495637852854713,0.421269754009291,0.259731684568938,0.295830307166923,0.0808144472992396,0.0684314856099437,-0.0291883249630205,0.497968982100989,0.369373335667145,0.238563985121953,0.0798751124055812,0.00405018396832979,-0.0730489617015102,26.5056088403945,0.5046904315197,0.485934182590233,0.489139878366638,0.588850174216028,0.523896222121074,0.471756672873991,0.39385275196569,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"213","UFES226","UFES","03-02","Marmosops incanus","Águia Branca","Yuri Luiz Reis Leite","YL 360","Mata Norte, Sítio Krok","Águia Branca","ES","-40.7202777777778","-18.9777777777778","160",TRUE,2006,4,21,"","ok","ok","","female","p3m4",6,"adulto","29","","276",113,"163",19,NA,"25","",TRUE,-0.721674688833254,-0.284196717357617,0.189213412416269,0.232511554131909,0.189944320762748,-0.296304324013222,0.288588208269624,-0.0237284379078311,0.310143655248544,0.258529856142802,-0.0164515653334503,0.207089874613491,0.382277274913465,0.419402834550461,0.0408958583654879,-0.638679459442885,-0.131102258900723,24.3897970471261,0.51247431758145,0.47965367965368,0.454627133872417,0.590842383328441,0.552906110283159,0.495406824146982,0.362538940809969,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"214","UFES225","UFES","03-02","Marmosops incanus","Águia Branca","Yuri Luiz Reis Leite","YL 386","Mata Norte, Sítio Krok","Águia Branca","ES","-40.7202777777778","-18.9777777777778","160",TRUE,2006,4,22,"","ok","ok","","female","p3m4",6,"adulto","37","","292",132,"160",19,NA,"25","",TRUE,-0.602745474911806,-0.305614186423213,NA,0.0474290899386691,0.194424276727609,-0.13199076134938,-0.141640827653801,0.0872088754681748,-0.0290629604186128,0.419514693012298,0.0527816012493023,-0.33761700117768,0.359907518404764,0.677408760742807,-0.132479748929253,-0.096602249068459,0.0392240453699622,24.683046813552,0.513058618688334,NA,0.458223394898857,0.574579222286709,0.574242424242424,0.511082138200782,0.387296669248644,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"215","UFES221","UFES","03-02","Marmosops incanus","Águia Branca","Yuri Luiz Reis Leite","YL 387","Mata Norte, Sítio Krok","Águia Branca","ES","-40.7202777777778","-18.9777777777778","160",TRUE,2006,4,22,"","ok","ok","","female","p3m4 (gastos)",7,"adulto","68","","365",158,"207",23,NA,"28","",TRUE,-0.725217515955578,-0.72609483590071,-0.602690715427315,0.452276582966867,0.309640194961819,0.158502522425604,-0.345375972417645,-0.0581544094845903,0.00082257588240342,0.384899978801174,-0.109424710915331,-0.679592387479541,-0.337611118411964,-0.286548877904273,-0.118644865360018,0.0633781288614337,-0.140668008477664,29.3021978697845,0.522951628825271,0.489154277358031,0.502384737678855,0.563672260612043,0.550788091068301,0.445383222691611,0.405914852128697,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"216","UFES220","UFES","03-02","Marmosops incanus","Águia Branca","Yuri Luiz Reis Leite","YL 388","Mata Norte, Sítio Krok","Águia Branca","ES","-40.7202777777778","-18.9777777777778","160",TRUE,2006,4,22,"","ok","ok","","female","p3m4 (gastos)",7,"adulto","64","","358",160,"198",19,NA,"29","",TRUE,-0.502734029893176,-0.799443933180044,0.80307695567268,0.0542310280522678,0.368410676187999,0.312025661222195,-0.716420887042508,-0.232818569761294,0.145574488499004,0.490088350525603,0.0211991894897814,-0.383345211778238,-0.547891072816061,-0.737269517450716,-0.0362232206201796,-0.317609366547183,-0.169619454876562,28.3922278097369,0.525402093438856,0.516346393810831,0.498392282958199,0.573653306101608,0.553627058299955,0.427409261576971,0.389892904953146,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"217","UFES227","UFES","03-02","Marmosops incanus","Águia Branca","Yuri Luiz Reis Leite","YL 429","Mata Norte, Sítio Krok","Águia Branca","ES","-40.7202777777778","-18.9777777777778","160",TRUE,2006,4,24,"","ok","ok","","female","p3m4",6,"adulto","34","","292",116,"176",19,NA,"26","",TRUE,-0.0780962696354237,0.128700083977392,0.326307292137216,0.0238181400536561,-0.0299930245553561,-0.188997669734626,0.0645986931087972,0.0242299523915079,0.144562547081986,-0.083432385162391,-0.201339249400617,0.278510591467008,0.737909066368633,0.43596992976523,0.487531153787348,0.334276529183413,-0.0339590534745542,24.8795498351558,0.500426499857833,0.478151962148622,0.458791208791209,0.584589138470287,0.531128404669261,0.482278481012658,0.395121951219512,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
