id,museu,sp,pop,coletor,localidade,municipio,uf,lon,lat,alt,xy.original,ano,mes,dia,sexo,dentes,classe,idade,peso.morto,gls,cb,nas,bbc,zb,poc,ic,lbasi,bps,bam,can,pl,max,sm,mad,alpcor,larcon,obs,replicas,gls.1,cb.1,nas.1,bbc.1,zb.1,poc.1,ic.1,lbasi.1,bps.1,bam.1,can.1,pl.1,max.1,sm.1,mad.1,alpcor.1,larcon.1,gls.2,cb.2,nas.2,bbc.2,zb.2,poc.2,ic.2,lbasi.2,bps.2,bam.2,can.2,pl.2,max.2,sm.2,mad.2,alpcor.2,larcon.2,gls.3,cb.3,nas.3,bbc.3,zb.3,poc.3,ic.3,lbasi.3,bps.3,bam.3,can.3,pl.3,max.3,sm.3,mad.3,alpcor.3,larcon.3,gls.4,cb.4,nas.4,bbc.4,zb.4,poc.4,ic.4,lbasi.4,bps.4,bam.4,can.4,pl.4,max.4,sm.4,mad.4,alpcor.4,larcon.4
1181,UFMG,Marmosops incanus,Ibitipoca,M. A. Drumond,Parque Estadual do Ibitipoca,Lima Duarte,MG,-43.883333,-21.691667,1050-1784,,1988,3,25,male,dp3m4,5,adulto,34,34.01,33.01,15.84,13.07,16.87,6.74,6.76,12.08,5.49,10.63,4.74,19.06,14.49,7.24,24.6,9.88,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UFES2451,UFES,Marmosops incanus,,Valéria Fagundes,Fazenda da Pedra do Navio T3-P2,Luminárias,MG,-44.9033,-21.5111,,,2012,5,10,female,p3m4,6,adulto,,34.18,33.17,,13.42,17,6.68,6.95,12.22,5.37,10.92,5.05,18.95,14.66,7.16,24.49,9.89,1.18,coordenadas da sede do municipio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4457,UFMG,Marmosops incanus,Mariana,Bernardo Faria Leopoldo,"Barragem de Germano e Fundão, Samarco",Mariana,MG,-43.470645,-20.202999,,,2012,7,14,,p3m4,6,adulto,25,35.59,34.66,16.45,13.29,16.98,6.7,6.98,12.21,6.22,10.75,5.21,20.55,15.11,7.26,25.6,10.65,1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCN-M 672,PUC-Minas,Marmosops incanus,Mariana,-,Distrito de Antônio Pereira,Mariana,MG,,,,,1996,2,1,female,p3m4 (p3 eclodindo),5,adulto,40,33.86,32.58,15.77,13,16.6,6.52,6.65,11.81,5.58,10.98,4.88,18.94,14.63,7.33,24.16,9.71,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCN-M 120,PUC-Minas,Marmosops incanus,Mariana,Clayton Perônico,Distrito de Antônio Pereira. Mina Samitri,Mariana,MG,,,,,1996,2,1,male,p3m4,6,adulto,45,39,38.15,18.72,13.72,18.45,6.6,7.44,,6.46,11.51,5.92,22.1,15.78,7.41,28.67,10.89,1.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCN-M 2270,PUC-Minas,Marmosops incanus,Mariana,Karla P. G. Leal,Mina de Alegria VALE,Mariana,MG,,,,,2008,3,31,male,,,,,35.13,34.43,16.31,13.67,17.67,6.98,12.43,12.4,5.69,10.93,5.15,20.22,15.16,7.37,25.56,11.02,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCN-M 854,PUC-Minas,Marmosops incanus,Mariana,Marco Aurélio Sabato,Mina de Fábrica Nova VALE,Mariana,MG,,,,,2001,3,14,male,dp3m4,5,adulto,28,34.87,,,12.91,,6.74,6.6,,5.63,10.67,4.8,19.82,14.58,7.42,24.15,10.23,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCN-M 855,PUC-Minas,Marmosops incanus,Mariana,Marco Aurélio Sabato,Mina de Fábrica Nova VALE,Mariana,MG,,,,,2001,3,14,male,dp3m4 (m4 eclodindo),4,subadulto,30,,,,12.94,16.79,6.65,6.6,12.05,6.04,11.02,4.91,,14.62,7.12,24.57,10.4,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCN-M 856,PUC-Minas,Marmosops incanus,Mariana,Marco Aurélio Sabato,Mina de Fábrica Nova VALE,Mariana,MG,,,,,2001,3,18,male,dp3m4,5,adulto,31,,,,13.31,17.02,6.89,6.63,12.24,5.74,10.63,4.94,,14.93,7.44,24.94,10.32,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCN-M 2930,PUC-Minas,Marmosops incanus,Mariana,Bruno Teixeira,Mina de Timbopeba VALE,Mariana,MG,-43.533426,-20.258588,1419,,2011,10,20,female,p3m4,6,adulto,41,36.6,,17.35,13.74,18.22,6.54,7.68,,6.47,11.16,5.29,,15.27,7.06,26.7,11.38,1.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
