id,museu,gaveta,sp,pop,coletor,id.coletor,localidade,municipio,uf,lon,lat,alt,xy.original,ano,mes,dia,morte,pele,cranio,esqueleto,sexo,dentes,classe,idade,peso,peso.morto,compr.total,compr.corpo,compr.cauda,tarso.c.unha,tarso.s.unha,orelha.int,orelha.ext,medido,gls,cb,nas,bbc,zb,poc,ic,lbasi,bps,bam,can,pl,max,sm,mad,alpcor,larcon,size,shape,nas.gls,can.bam,pl.cb,bam.pl,sm.max,alpcor.mad,obs,replicas,gls.1,cb.1,nas.1,bbc.1,zb.1,poc.1,ic.1,lbasi.1,bps.1,bam.1,can.1,pl.1,max.1,sm.1,mad.1,alpcor.1,larcon.1,gls.2,cb.2,nas.2,bbc.2,zb.2,poc.2,ic.2,lbasi.2,bps.2,bam.2,can.2,pl.2,max.2,sm.2,mad.2,alpcor.2,larcon.2,gls.3,cb.3,nas.3,bbc.3,zb.3,poc.3,ic.3,lbasi.3,bps.3,bam.3,can.3,pl.3,max.3,sm.3,mad.3,alpcor.3,larcon.3,gls.4,cb.4,nas.4,bbc.4,zb.4,poc.4,ic.4,lbasi.4,bps.4,bam.4,can.4,pl.4,max.4,sm.4,mad.4,alpcor.4,larcon.4
MN33837,MNHN,"14,01,2",Marmosops incanus,Reserva Vale,A. R. T. Palma,10,Mata Secundária,Linhares,ES,-40.166667,-19.166667,,TRUE,1993,7,22,,ok,ok,,female,p3m4 (gastos),7,adulto,55.5,,358,155,203,17,NA,26,,TRUE,0.0018925055589247286,-8.346929925733271e-4,0.015243995625754181,-0.061988263193592186,-0.0010984011762946722,0.04139048538947243,0.0032463608852606463,-0.00937937742598427,0.054535449944198566,-0.00834115272853797,-0.029895097864718556,-0.008425977859500389,-0.017491418628639455,-0.007264733602241336,-0.0025025893187069492,-0.028292326898181397,-0.22041235131906323,28.3192372778647,0.505271084337349,0.496179442938132,0.504222972972973,0.567771084337349,0.52343059239611,0.463008631319359,0.389318105475311,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MN33836,MNHN,"14,01,2",Marmosops incanus,Reserva Vale,A. R. T. Palma,12,Mata Secundária,Linhares,ES,-40.166667,-19.166667,,TRUE,1993,7,23,,ok,ok,,female,p3m4,6,adulto,27.5,,276,104,172,16,NA,23,,TRUE,0.00524394197943856,0.005552899753815677,0.02793216111593111,-0.033096889643718264,-0.0014531163886757348,-0.11115879902270476,0.07570689667460107,0.02877007783911356,0.04269829466677133,0.04302945117749779,0.021544060128671605,0.006243358368271501,0.03861969325158343,0.10489345577641207,0.009557290486310599,0.020983944056088166,0.11489665111291711,23.1259053876816,0.498625954198473,0.465899025686448,0.442114858705561,0.582900763358779,0.574646411733892,0.521183591123067,0.388820889432884,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MN34500,MNHN,"14,01,2",Marmosops incanus,Reserva Vale,,22,Mata Secundária,Linhares,ES,-40.166667,-19.166667,,TRUE,1993,8,14,,liquido,ok,,female,p3m4 (p3 eclodindo),5,adulto,30.5,,285,112,173,NA,NA,30.5,,TRUE,-0.004089204303910687,0.007019661647953868,NA,-0.02656049115661485,-0.004001645756530614,-0.06629973437435965,-0.024240856200001604,-0.01193211796286775,NA,-0.004787426490255875,-0.02699892379601998,-0.00044594243305606796,0.008257629432045555,0.04285772157052459,-0.016914984423822332,-0.056012557276606145,0.015261604763446887,23.9814324009222,0.497206703910615,NA,0.452336448598131,0.576301087915319,0.545918367346939,0.499324324324324,0.372224465078724,não sei de é peso ou orelha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MZ029176,MZUSP,,Marmosops incanus,Reserva Vale,M. A. Mustrangi,MAM 194,"Reserva Florestal Cia.  Vale do Rio Doce, 30 km N Linhares",Linhares,ES,,,50,NA,1993,10,14,,ok,ok,ok,male,p3m4,6,adulto,,100,390,NA,213,22,NA,29,,TRUE,-0.02214286027130541,-0.016142234676568723,NA,-0.00953280538860346,0.010764692142111176,0.1281265644191678,0.04868563977588147,-0.06680764798293515,-0.09624690801171965,-0.023008210607889268,-0.05657556331559421,-0.015233648997754479,-0.006189251253008177,-0.0014482375873003939,-0.0228545638756823,-0.05566307500027845,0.005174128419541513,31.791791393377,0.521117166212534,NA,0.537051792828685,0.566757493188011,0.502804487179487,0.44438202247191,0.395185862279098,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UFES2635,UFES,03-05,Marmosops incanus,Reserva Vale,Leonora Pires Costa,LPC 1356,Reserva Natural da Vale,Linhares,ES,-40.07028,-19.15139,63,TRUE,2011,12,4,,,ok,,female,p3m4 (gastos),7,adulto,,,,NA,,NA,NA,,,TRUE,0.001255783295765145,0.0024884664105253584,0.023624866832635316,-9.721710777168546e-4,-0.003953534893495814,0.05791107073682955,0.034302924588565986,0.01926027917387252,0.03456288711245925,0.015820936094812943,-0.004773460283855169,-0.010617558538975391,-0.00824807020325169,0.010908750634576414,0.00406599628273252,0.06148700119065831,-0.10790151578159149,27.8776344046621,0.501905972045743,0.49787340505379,0.499583680266445,0.565438373570521,0.539775280898876,0.469425571340334,0.421837911156324,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UFES2636,UFES,03-05,Marmosops incanus,Reserva Vale,Leonora Pires Costa,LPC 1357,Reserva Natural da Vale,Linhares,ES,-40.07028,-19.15139,63,TRUE,2011,12,3,,,ok,,female,p3m4,6,adulto,,,,NA,,NA,NA,,,TRUE,-0.01585330375149363,-0.015160293023567917,-0.04079862219017105,0.004429999197704593,0.014844178371546501,0.05240512880152681,-0.06897394518755973,-0.02067929379095057,-0.062211209366276554,0.010563870752645865,-0.0589181216861423,-0.007476590970353136,-0.028444145018806655,-0.013995781838185284,-0.008099811832055437,0.05192888228292647,-0.017415461683210343,26.8225278450783,0.51989247311828,0.468371112282551,0.463979416809605,0.579301075268817,0.541067285382831,0.47279792746114,0.419850053552303,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UFES2055,UFES,03-05,Marmosops incanus,Reserva Vale,Mariana Ferreira Rocha,TAX 5,Reserva Natural Vale,Linhares,ES,-40.0722,-19.3911,,TRUE,2011,5,24,,ok,ok,,male,dp3m4,5,adulto,34,,347,170,177,22,NA,27,,TRUE,0.022206889438656674,0.008277654495410403,0.05751461817471393,0.015303367738763285,-0.005958085310824757,-0.046998310720383074,0.022711776778102877,-0.011044431636513252,-0.07126064235068097,0.013520728212467858,-0.004682422941705733,0.0034027351588901134,0.04113428791125884,0.10024973921547442,0.011865280943969214,-0.04502820172308608,0.026781892560686277,24.5505478553942,0.495983935742972,0.481990651635964,0.461121157323689,0.576592082616179,0.550248756218905,0.508038585209003,0.367292225201072,coordenadas da sede do municipio,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UFES233,UFES,03-06,Marmosops incanus,Pancas,Leonora Pires Costa,LPC 933,"Córrego Palmital, Mata dos Stur",Pancas,ES,-40.7713888888889,-19.2044444444444,158,TRUE,2006,2,9,,ok,ok,ETOH,female,p3m4 (gastos),7,adulto,57,,328,138,190,22,NA,22,,TRUE,-0.014323162363090614,-0.014212552291705371,-0.0727659806616261,-0.020737321288295973,0.012310246336684205,0.07253783484274234,-0.05328833430114166,-0.004972885136710126,0.05978681955439691,0.056109728429615924,0.054943345536657695,-0.015474610563062097,-0.027297777832584025,-0.012193351354345072,-0.00279337712098382,0.016020670821095706,-0.1555188218605704,28.2899734888529,0.518971224853578,0.461634904714142,0.514263074484945,0.571428571428571,0.562388591800356,0.465420560747664,0.406996300033636,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UFES862,UFES,03-06,Marmosops incanus,Pancas,Leonora Pires Costa,LPC 940,"Córrego Palmital, Mata dos Stur",Pancas,ES,-40.7713888888889,-19.2044444444444,158,TRUE,2006,2,10,,ok,ok,,male,p3m4,6,adulto,29,,285,115,170,19,NA,25,,TRUE,0.006125339520043571,0.01182781478752526,-0.020882018738140662,-0.005570971774088385,-0.010394866659711344,0.03249105118683082,0.006718329061314421,-0.02300898663285489,0.032987699592545994,-0.029960426725978095,0.029087759563775295,0.0013679331373586123,0.029079711308279688,0.009401143660056288,0.007230296601163033,0.022868790507990067,0.11755394564665309,25.2924890036548,0.492508324084351,0.457710089747076,0.507877664504171,0.571864594894562,0.523532265890345,0.465264499681326,0.397163120567376,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UFES234,UFES,03-06,Marmosops incanus,Pancas,Leonora Pires Costa,LPC 958,"Córrego Palmital, Mata dos Stur",Pancas,ES,-40.7713888888889,-19.2044444444444,158,TRUE,2006,2,12,,ok,ok,,male,p3m4,6,adulto,41,,305,114,191,21,NA,25,,TRUE,-0.022908154022073912,-0.00720468773143379,NA,0.025682103022593772,0.008361160145649915,0.014857730509902467,-0.10065178628845928,-0.012698044750587112,-0.017449349483846133,0.008599243422067637,-0.012423036924164688,-0.022235501778272937,0.01484822604183611,0.06552126866511143,-0.02717690061598299,-6.512273283139081e-4,-0.030787579817189187,25.5284037887213,0.511627906976744,NA,0.471631205673759,0.568786775007005,0.555665024630542,0.497752087347463,0.402219670876387,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
