"","(Intercept)","domain","log(xy$distance)","x","mahal","maxent","class","correlation","df","logLik","AICc","delta","weight"
"integr_lm_distance",-4.29157682940768,NA,NA,0.631327277033911,NA,NA,"lm","",3,-53.8732762708448,114.889409684547,0,0.372338869239241
"integr_lm_dist_mahal",6.28847409554544,NA,0.851363268744387,-13.6055037337797,NA,NA,"lm","",4,-53.0788678934767,116.157735786953,1.26832610240666,0.197480792654981
"integr_lm_dist_maxent",-4.04598678433689,NA,0.644049363587517,-0.525533492642142,NA,NA,"lm","",4,-53.8308385118941,117.661677023788,2.77226733924152,0.0930996764344506
"integr_lm_mahal",2.81190513663245,NA,NA,NA,-0.853755626521754,NA,"gls","corExp(~lon+lat,TRUE)",5,-52.2623159195865,117.682526576015,2.7931168914685,0.0921341744661997
"integr_lm_dist_domain",-4.38536136718789,NA,0.628047531082757,0.145733301608056,NA,NA,"lm","",4,-53.8727783463882,117.745556692776,2.8561470082298,0.0892758374784132
"lm(xy$integr ~ 1)",2.21115308927047,NA,NA,NA,NA,NA,"lm","",2,-56.7652949364649,118.076044418384,3.18663473383766,0.0756779632343803
"integr_lm_domain",-1.47751860783719,4.07029604227361,NA,NA,NA,NA,"gls","corExp(~lon+lat,TRUE)",5,-52.6669659573994,118.491826651641,3.60241696709424,0.0614728672716631
"integr_lm_maxent",1.66322875077884,NA,NA,NA,NA,0.529550116246542,"gls","corExp(~lon+lat,TRUE)",5,-53.8667203844201,120.891335505682,6.0019258211356,0.0185198192206713
