"","domain","mahal","maxent","distance"
"levene.F",0.197907521163626,0.261990230881951,0.077551284983051,0.760834357376267
"levene.p",0.660573594191224,0.613635851562107,0.783132043192038,0.392082585925907
"welch.t",-1.09729894873784,-0.590164652680846,0.0197730704237363,-1.21158140917056
"welch.p",0.284282870307596,0.5609615795828,0.984395707912082,0.239989062265523
"anova.F",1.17691048994725,0.341650977132619,0.000390449202854114,1.50876827856426
"anova.p",0.289226756717052,0.564567878963228,0.984405418156419,0.231748614430191
