"","model","observed","expected","sd","p.value"
"1","lm.domain",0.0232467542034104,-0.0416666666666667,0.0830088226145871,0.217105440422136
"2","lm.mahal",0.0710374795533881,-0.0416666666666667,0.0833890566510172,0.0882602969847424
"3","lm.maxent",0.0991360685567125,-0.0416666666666667,0.0848329418931131,0.0484808835935995
"4","lm.distance",-0.0370270552772996,-0.0416666666666667,0.0871353983799739,0.478767952586853
"5","lm.dist.domain",-0.0764413068917784,-0.0416666666666667,0.085876874848102,0.657237731014024
"6","lm.dist.mahal",-0.0392268634485408,-0.0416666666666667,0.0875738444083986,0.488886924324296
"7","lm.dist.maxent",-0.0375447179810932,-0.0416666666666667,0.0872085612359562,0.481150846744583
