"","model","observed","expected","sd","p.value"
"1","integr_lm_domain",0.127288656359445,-0.0416666666666667,0.0718268142560335,0.00932987014593012
"2","integr_lm_mahal",0.118410784834342,-0.0416666666666667,0.0715104150876165,0.0125936018619631
"3","integr_lm_maxent",0.134842248686455,-0.0416666666666667,0.0714349832123487,0.00673861820733646
"4","integr_lm_distance",-0.0406128339143808,-0.0416666666666667,0.0772582793420017,0.494558442045072
"5","integr_lm_dist_domain",-0.0399917876006919,-0.0416666666666667,0.077242560727091,0.491350264519505
"6","integr_lm_dist_mahal",-0.0598228753044271,-0.0416666666666667,0.0781629093065856,0.591842350812635
"7","integr_lm_dist_maxent",-0.0470491626274178,-0.0416666666666667,0.0775081407444232,0.527682002706185
