"","gls.mean","cb.mean","nas.mean","bbc.mean","zb.mean","ic.mean","lbasi.mean","can.mean","pl.mean","max.mean","sm.mean","mad.mean","alpcor.mean"
"domain_slope",0.928394243837432,0.828655657640379,1.15083341695042,0.373485826357738,-0.409468542696373,0.308661576070525,-0.0393224336787649,0.343220318546449,0.886975068772514,1.18493192548868,0.439596175889608,1.68223274323496,1.5311485874113
"domain_r-squared",0.183891616973054,0.307630980544565,0.112321078025297,0.383245291522402,0.312428880727843,0.460733581942538,0.86224759017414,0.195967329259125,0.168100332815875,0.0873330538445838,0.240204841346143,0.0110136798080835,0.00596670804326256
"domain_p-value",0.0754547079083892,0.0451903501260101,0.105960214527655,0.0332150119028365,0.0443229530311713,0.0238858173566672,0.00133686278967814,0.0715979546330101,0.0809380147681291,0.121765466713237,0.05944412437107,0.249507985602233,0.2851793985787
"dist_slope",0.0327799491723928,0.0216675177208425,0.0638361906716663,0.0495625142776462,-0.00664013376725668,0.0388105258542808,0.0107221026343638,0.00208383263751653,0.00594837792463123,0.0266312975541919,-0.00757232502748011,0.0509624150421767,0.118849839325681
"dist_r-squared",0.277272964605897,0.370596934974421,0.270728595557789,0.906936951910638,0.33893487286245,0.89345671386051,0.597866071809864,0.187432886362472,0.161777269360725,0.121513805586058,0.160857220356853,0.0281821080755843,0.053428592739283
"dist_p-value",0.0797617482183349,0.045399158567427,0.146055737366864,0.173670802843139,0.044933342032005,0.112527838206993,0.0418982610347628,0.0783313530852388,0.087972964432275,0.121765505292326,0.0921198484436795,0.254779717742844,0.586854718496494
"both_domain_slope",0.83524241627861,0.804999842579478,0.853528813568742,0.0509415144876684,-0.429648590567617,0.0589463729923197,-0.130285705614708,0.387423393643216,0.996794269775508,1.18521202990621,0.576471352434078,1.57954155756044,0.869784211336018
"both_dist_slope",0.0139827154393012,0.00355089684389107,0.0446274193091398,0.0484160692026838,0.00302916082625317,0.037483930450049,0.0136541985298667,-0.00663517868428144,-0.0164846002235074,-4.20455558011219e-05,-0.0205458840098106,0.0154146372115414,0.0992752382288159
"both_r-squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"both_p-values",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
